municipality_code,municipality,year,population
0884,Vimmerby,2022,15557
0885,Borgholm,2022,10857
0980,Gotland,2022,61173
1060,Olofström,2022,13159
1080,Karlskrona,2022,66682
1081,Ronneby,2022,29169
1082,Karlshamn,2022,32216
1083,Sölvesborg,2022,17514
1214,Svalöv,2022,14466
1230,Staffanstorp,2022,26778
1231,Burlöv,2022,19882
1233,Vellinge,2022,37821
1256,Östra Göinge,2022,14577
1257,Örkelljunga,2022,10455
1260,Bjuv,2022,16062
1261,Kävlinge,2022,32470
1262,Lomma,2022,24721
1263,Svedala,2022,23288
1264,Skurup,2022,16731
1265,Sjöbo,2022,19547
1266,Hörby,2022,15718
1267,Höör,2022,17297
1270,Tomelilla,2022,13812
1272,Bromölla,2022,12633
1273,Osby,2022,13238
1275,Perstorp,2022,7442
1276,Klippan,2022,17865
1277,Åstorp,2022,16341
1278,Båstad,2022,15824
1280,Malmö,2022,357377
1281,Lund,2022,128384
1282,Landskrona,2022,47004
1283,Helsingborg,2022,150975
1284,Höganäs,2022,28103
1285,Eslöv,2022,34701
1286,Ystad,2022,31714
1287,Trelleborg,2022,46649
1290,Kristianstad,2022,86738
1291,Simrishamn,2022,19074
1292,Ängelholm,2022,44268
1293,Hässleholm,2022,52369
1315,Hylte,2022,10464
1380,Halmstad,2022,105148
1381,Laholm,2022,26575
1382,Falkenberg,2022,47017
1383,Varberg,2022,67800
1384,Kungsbacka,2022,85801
1401,Härryda,2022,39762
1402,Partille,2022,39852
1407,Öckerö,2022,12800
1415,Stenungsund,2022,27870
1419,Tjörn,2022,16275
1421,Orust,2022,15415
1427,Sotenäs,2022,9160
1430,Munkedal,2022,10578
1435,Tanum,2022,13013
1438,Dals-Ed,2022,4650
1439,Färgelanda,2022,6512
1440,Ale,2022,32394
1441,Lerum,2022,43536
1442,Vårgårda,2022,12268
1443,Bollebygd,2022,9703
1444,Grästorp,2022,5646
1445,Essunga,2022,5717
1446,Karlsborg,2022,7057
1447,Gullspång,2022,5194
1452,Tranemo,2022,11940
1460,Bengtsfors,2022,9255
1461,Mellerud,2022,9263
1462,Lilla Edet,2022,14428
1463,Mark,2022,35329
1465,Svenljunga,2022,10816
1466,Herrljunga,2022,9517
1470,Vara,2022,16163
1471,Götene,2022,13275
1472,Tibro,2022,11399
1473,Töreboda,2022,9186
1480,Göteborg,2022,596841
1481,Mölndal,2022,70109
1482,Kungälv,2022,49068
1484,Lysekil,2022,14170
1485,Uddevalla,2022,57282
1486,Strömstad,2022,13290
1487,Vänersborg,2022,39904
1488,Trollhättan,2022,59274
1489,Alingsås,2022,42199
1490,Borås,2022,114445
1491,Ulricehamn,2022,25108
1492,Åmål,2022,12216
1493,Mariestad,2022,24768
1494,Lidköping,2022,40457
1495,Skara,2022,18755
1496,Skövde,2022,57463
1497,Hjo,2022,9243
1498,Tidaholm,2022,12839
1499,Falköping,2022,33252
1715,Kil,2022,12115
1730,Eda,2022,8535
1737,Torsby,2022,11411
1760,Storfors,2022,3882
1761,Hammarö,2022,16820
1762,Munkfors,2022,3701
1763,Forshaga,2022,11578
1764,Grums,2022,9105
1765,Årjäng,2022,9914
1766,Sunne,2022,13418
1780,Karlstad,2022,96466
1781,Kristinehamn,2022,24053
1782,Filipstad,2022,10315
1783,Hagfors,2022,11589
1784,Arvika,2022,25832
1785,Säffle,2022,15242
1814,Lekeberg,2022,8756
1860,Laxå,2022,5576
1861,Hallsberg,2022,16290
1862,Degerfors,2022,9530
1863,Hällefors,2022,6656
1864,Ljusnarsberg,2022,4517
1880,Örebro,2022,158057
1881,Kumla,2022,22479
1882,Askersund,2022,11497
1883,Karlskoga,2022,30278
1884,Nora,2022,10701
1885,Lindesberg,2022,23435
1904,Skinnskatteberg,2022,4402
1907,Surahammar,2022,10033
1960,Kungsör,2022,8762
1961,Hallstahammar,2022,16711
1962,Norberg,2022,5627
1980,Västerås,2022,158653
1981,Sala,2022,22981
1982,Fagersta,2022,13341
1983,Köping,2022,26120
1984,Arboga,2022,14083
2021,Vansbro,2022,6800
2023,Malung-Sälen,2022,10258
2026,Gagnef,2022,10499
2029,Leksand,2022,16113
2031,Rättvik,2022,11092
2034,Orsa,2022,6934
2039,Älvdalen,2022,7018
2061,Smedjebacken,2022,10922
2062,Mora,2022,20679
2080,Falun,2022,59818
2081,Borlänge,2022,52178
2082,Säter,2022,11271
2083,Hedemora,2022,15443
2084,Avesta,2022,22932
2085,Ludvika,2022,26353
2101,Ockelbo,2022,5821
2104,Hofors,2022,9472
2121,Ovanåker,2022,11622
2132,Nordanstig,2022,9487
2161,Ljusdal,2022,18771
2180,Gävle,2022,103493
2181,Sandviken,2022,39098
2182,Söderhamn,2022,25258
2183,Bollnäs,2022,26624
2184,Hudiksvall,2022,37688
2260,Ånge,2022,9143
2262,Timrå,2022,17754
2280,Härnösand,2022,24879
2281,Sundsvall,2022,99361
2282,Kramfors,2022,17904
2283,Sollefteå,2022,18667
2284,Örnsköldsvik,2022,55557
2303,Ragunda,2022,5174
2305,Bräcke,2022,6162
2309,Krokom,2022,15532
2313,Strömsund,2022,11397
2321,Åre,2022,12330
2326,Berg,2022,7176
2361,Härjedalen,2022,10185
2380,Östersund,2022,64714
2401,Nordmaling,2022,7066
2403,Bjurholm,2022,2372
2404,Vindeln,2022,5504
2409,Robertsfors,2022,6759
2417,Norsjö,2022,3947
2418,Malå,2022,3033
2421,Storuman,2022,5747
2422,Sorsele,2022,2436
2425,Dorotea,2022,2413
2460,Vännäs,2022,8963
2462,Vilhelmina,2022,6393
2463,Åsele,2022,2782
2480,Umeå,2022,132235
2481,Lycksele,2022,12243
2482,Skellefteå,2022,74402
2505,Arvidsjaur,2022,6111
2506,Arjeplog,2022,2667
2510,Jokkmokk,2022,4760
2513,Överkalix,2022,3160
2514,Kalix,2022,15729
2518,Övertorneå,2022,4119
