source_year,source_file,source_sheet,case_number,education_name,education_area,decision,municipality,county,education_credits,study_mode,study_pace_percentage,education_provider,principal_type,sun5_code,sun5_name,seqf_level,narrow_occupational_area,total_sought_places,total_granted_places,is_approved,is_distance,program_length_years,municipality_code,county_code
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4061,Automationsingenjör - Robot,Teknik Och Tillverkning,Beviljad,Jönköping,Jönköping,400,Bunden,100,Tekniska Högskolan I Jönköping Ab,Privat,523fa,Utbildningar till automationstekniker,5.0,False,100,60,True,False,2.0,0680,06
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4066,Automationsingenjör - Robot,Teknik Och Tillverkning,Beviljad,Olofström,Blekinge,400,Bunden,100,"Olofströms Kommun, Yrkeshögskolan Syd",Kommun,523fa,Utbildningar till automationstekniker,5.0,False,60,60,True,False,2.0,1060,10
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4251,Automationsingenjör robotik ,Teknik Och Tillverkning,Beviljad,Göteborg,Västra Götaland,430,Bunden,100,Plushögskolan Ab - Teknikhögskolan Väst,Privat,523fa,Utbildningar till automationstekniker,5.0,False,150,90,True,False,2.2,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4157,Automationstekniker– inriktning programmering,Teknik Och Tillverkning,Avslag,Nynäshamn,Stockholm,400,Distans,100,Campus Nynäshamn,Kommun,523fa,Utbildningar till automationstekniker,5.0,False,60,0,False,True,2.0,0192,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3891,El- och automationsingenjör,Teknik Och Tillverkning,Beviljad,Luleå,Norrbotten,400,Distans,100,"Luleå Kommun, Vuxenutbildningen",Kommun,523fa,Utbildningar till automationstekniker,5.0,False,125,75,True,True,2.0,2580,25
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4438,El- och automationstekniker - Processindustri,Teknik Och Tillverkning,Avslag,Sandviken,Gävleborg,400,Bunden,100,"Sandvikens Kommun, Yrkeshögskolan",Kommun,523fa,Utbildningar till automationstekniker,5.0,False,45,0,False,False,2.0,2181,21
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3478,Hydraultekniker - Fluida System,Teknik Och Tillverkning,Beviljad,Ljungby,Kronoberg,200,Bunden,100,Irc Ljungby Ab,Privat,523fb,Utbildningar till hydraulsystemtekniker,5.0,False,45,45,True,False,1.0,0781,07
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4369,Ingenjör AI och maskininlärning,Teknik Och Tillverkning,Beviljad,Stockholm,Stockholm,400,Distans,100,Plushögskolan Ab - Teknikhögskolan Öst,Privat,523fc,Utbildningar inom robotautomation,5.0,False,150,90,True,True,2.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3138,Robot och automationsprogrammerare,Teknik Och Tillverkning,Beviljad,Örnsköldsvik,Västernorrland,300,Distans,100,Yh Akademin Ab,Privat,523fc,Utbildningar inom robotautomation,5.0,False,80,60,True,True,1.5,2284,22
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3139,Robot och automationsprogrammerare ,Teknik Och Tillverkning,Beviljad,Eskilstuna,Södermanland,300,Distans,100,Yh Akademin Ab,Privat,523fc,Utbildningar inom robotautomation,5.0,False,120,90,True,True,1.5,0484,04
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4094,Live-ljudtekniker,Teknik Och Tillverkning,Beviljad,Göteborg,Västra Götaland,300,Bunden,100,Dans I Göteborg Ab,Privat,523xa,Utbildningar till eventtekniker,5.0,False,120,90,True,False,1.5,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4315,"Ljud-, ljus och scentekniker",Teknik Och Tillverkning,Beviljad,Eslöv,Skåne,400,Bunden,100,Medborgarskolan Syd,Privat,523xa,Utbildningar till eventtekniker,5.0,False,48,48,True,False,2.0,1285,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4308,Scentekniker med inriktning ljudteknik,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,400,Bunden,100,Kulturama,Privat,523xa,Utbildningar till eventtekniker,5.0,False,48,0,False,False,2.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4000,Stagehand,Teknik Och Tillverkning,Avslag,Nyköping,Södermanland,200,Bunden,100,Campus Nyköping,Kommun,523xa,Utbildningar till eventtekniker,5.0,False,70,0,False,False,1.0,0480,04
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3394,FPGA - ingenjör,Teknik Och Tillverkning,Beviljad,Surahammar,Västmanland,220,Distans,100,Agstu Ab,Privat,523xy,"Övriga utbildningar elektronik, datateknik och automation",5.0,False,60,60,True,True,1.1,1907,19
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3313,Drifttekniker - processoperatör,Teknik Och Tillverkning,Avslag,Gävle,Gävleborg,400,Distans,100,Creando Ab,Privat,524ds,Utbildningar till processtekniker,5.0,False,100,0,False,True,2.0,2180,21
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3054,Livsmedelsprocessoperatör,Teknik Och Tillverkning,Avslag,Trollhättan,Västra Götaland,210,Distans,100,Yh Akademin Ab,Privat,524ds,Utbildningar till processtekniker,5.0,False,80,0,False,True,1.0,1488,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4159,Läke- och livsmedelstekniker,Teknik Och Tillverkning,Beviljad,Uppsala,Uppsala,400,Bunden,100,Folkuniversitetet - Stiftelsen Kursverksamheten Vid Uppsala Universitetet,Privat,524ds,Utbildningar till processtekniker,5.0,False,100,80,True,False,2.0,0380,03
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4260,Läkemedelstekniker,Teknik Och Tillverkning,Beviljad,Stockholm,Stockholm,300,Bunden,100,"Stockholms Stad, Frans Schartaus Handelsinstitut",Kommun,524ds,Utbildningar till processtekniker,5.0,False,175,140,True,False,1.5,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3979,Processoperatör/drifttekniker kemisk industri,Teknik Och Tillverkning,Beviljad,Nynäshamn,Stockholm,300,Distans,100,Campus Nynäshamn,Kommun,524ds,Utbildningar till processtekniker,5.0,False,125,100,True,True,1.5,0192,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4184,Systemtekniker spårfordon,Teknik Och Tillverkning,Beviljad,Västerås,Västmanland,400,Bunden,100,Västerås Stad/Barn- Och Utbildningsförvaltningen/Västerås Yrkeshögskola,Kommun,525cb,Utbildningar till tågtekniker,5.0,False,80,80,True,False,2.0,1980,19
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4423,Bilskadetekniker i hållbara skadeverkstäder,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,300,Bunden,100,Fordonsakademin Sverige Ab,Privat,525cd,Utbildningar till fordonstekniker,5.0,False,60,0,False,False,1.5,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4013,Diagnostekniker inom motorbranschen,Teknik Och Tillverkning,Beviljad,Karlstad,Värmland,400,Bunden,100,"Karlstads Kommun, Yrkeshögskolan",Kommun,525cd,Utbildningar till fordonstekniker,5.0,False,90,72,True,False,2.0,1780,17
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3167,E-mobility-ingenjör,Teknik Och Tillverkning,Beviljad,Stockholm,Stockholm,400,Distans,100,Hermods Ab Stockholm,Privat,525cd,Utbildningar till fordonstekniker,5.0,False,175,105,True,True,2.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4304,Fordonstekniker El/IT - Personbil,Teknik Och Tillverkning,Avslag,Göteborg,Västra Götaland,300,Bunden,100,Movant Ab,Privat,525cd,Utbildningar till fordonstekniker,5.0,False,160,0,False,False,1.5,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4433,Tekniker säkerhetssystem,Teknik Och Tillverkning,Avslag,Göteborg,Västra Götaland,200,Distans,100,Göteborgs Tekniska College Ab,Privat,525cd,Utbildningar till fordonstekniker,5.0,False,105,0,False,True,1.0,1480,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3783,El- och Avioniktekniker,Teknik Och Tillverkning,Avslag,Linköping,Östergötland,100,Bunden,100,Linköpings Kommun,Kommun,525da,Utbildningar till flygtekniker,,False,50,0,False,False,0.5,0580,05
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3422,Flygtekniker,Teknik Och Tillverkning,Avslag,Sigtuna,Stockholm,420,Bunden,100,Sigtuna Kommun,Kommun,525da,Utbildningar till flygtekniker,6.0,False,120,0,False,False,2.1,0191,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4234,Flygtekniker / El- och Avioniktekniker,Teknik Och Tillverkning,Beviljad,Nyköping,Södermanland,500,Bunden,100,Nyköpings Kommun - Flygteknik Technical Training,Kommun,525da,Utbildningar till flygtekniker,6.0,False,120,72,True,False,2.5,0480,04
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3493,Marin Serviceingenjör,Teknik Och Tillverkning,Beviljad,Uddevalla,Västra Götaland,400,Distans,100,"Uddevalla Kommun, Uddevalla Yrkeshögskola",Kommun,525db,Utbildningar till marintekniker,5.0,False,96,64,True,True,2.0,1485,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3214,Marinelektriker,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,320,Distans,100,Alea Kompetenshöjning Ab,Privat,525db,Utbildningar till marintekniker,5.0,False,60,0,False,True,1.6,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3198,Marintekniker,Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,400,Bunden,100,Alea Kompetenshöjning Ab,Privat,525db,Utbildningar till marintekniker,5.0,False,60,0,False,False,2.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4158,Marintekniker,Teknik Och Tillverkning,Avslag,Nynäshamn,Stockholm,400,Distans,100,Campus Nynäshamn,Kommun,525db,Utbildningar till marintekniker,5.0,False,60,0,False,True,2.0,0192,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4214,"Teknisk personal, skärgårdstrafik",Teknik Och Tillverkning,Avslag,Stockholm,Stockholm,210,Distans,100,Alea Kompetenshöjning Ab,Privat,525db,Utbildningar till marintekniker,5.0,False,60,0,False,True,1.0,0180,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4235,Verksamhetsutvecklare,Teknik Och Tillverkning,Avslag,Södertälje,Stockholm,400,Bunden,100,"Södertälje Kommun, Campus Telge",Kommun,526xr,Utbildningar till kvalitetsutvecklare,6.0,False,60,0,False,False,2.0,0181,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4116,Energi- och miljökonsult,Teknik Och Tillverkning,Avslag,Botkyrka,Stockholm,400,Distans,100,Xenter Yrkeshögskola,Kommun,527xy,Övriga utbildningar inom miljöteknik och miljökontroll,5.0,False,175,0,False,True,2.0,0127,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4237,Miljöinspektör,Teknik Och Tillverkning,Avslag,Södertälje,Stockholm,400,Bunden,100,"Södertälje Kommun, Campus Telge",Kommun,527xy,Övriga utbildningar inom miljöteknik och miljökontroll,5.0,False,100,0,False,False,2.0,0181,01
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/2996,Ytbehandlingsspecialist ,Teknik Och Tillverkning,Beviljad,Trollhättan,Västra Götaland,215,Distans,100,Yh Akademin Ab,Privat,540xa,Utbildningar till materialtekniker,5.0,False,100,60,True,True,1.1,1488,14
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4403,Verksamhetsutvecklare blåa livsmedel,Teknik Och Tillverkning,Beviljad,Lund,Skåne,300,Distans,75,Folkuniversitetet - Kursverksamheten Vid Lunds Universitet,Privat,541cy,"Övriga utbildningar i tillverkning och hantering av livsmedel, allmän utbildning",5.0,False,175,105,True,True,1.5,1281,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/4390,Hållbar livsmedelsintraprenör,Teknik Och Tillverkning,Beviljad,Lund,Skåne,265,Distans,75,Folkuniversitetet - Kursverksamheten Vid Lunds Universitet,Privat,541xy,Övriga utbildningar i tillverkning och hantering av livsmedel,5.0,False,175,90,True,True,1.3,1281,12
2023,resultat-ansokningsomgang-2023.xlsx,Tabell 3,MYH 2023/3908,"Mathantverkare – hantverksbagare, hantverkscharkuterist eller hantverksmejerist ",Teknik Och Tillverkning,Beviljad,Krokom,Jämtland,200,Distans,100,Torsta Ab,Privat,541xy,Övriga utbildningar i tillverkning och hantering av livsmedel,5.0,False,60,60,True,True,1.0,2309,23
